Order ID,Order Date,Ship Date,Ship Mode,Customer Name,Segment,City,State,Region,Category,Sub-Category,Sales
CA-2017-152156,2017-11-08,11/11/2017,Second Class,Claire Gute,Consumer,Henderson,Kentucky,South,Furniture,Bookcases,261.96
CA-2017-152156,2017-11-08,11/11/2017,Second Class,Claire Gute,Consumer,Henderson,Kentucky,South,Furniture,Chairs,731.94
CA-2017-138688,2017-06-12,16/06/2017,Second Class,Darrin Van Huff,Corporate,Los Angeles,California,West,Office Supplies,Labels,14.62
US-2016-108966,2016-10-11,18/10/2016,Standard Class,Sean O'Donnell,Consumer,Fort Lauderdale,Florida,South,Furniture,Tables,957.5775
US-2016-108966,2016-10-11,18/10/2016,Standard Class,Sean O'Donnell,Consumer,Fort Lauderdale,Florida,South,Office Supplies,Storage,22.368
CA-2015-115812,2015-06-09,14/06/2015,Standard Class,Brosina Hoffman,Consumer,Los Angeles,California,West,Furniture,Furnishings,48.86
CA-2015-115812,2015-06-09,14/06/2015,Standard Class,Brosina Hoffman,Consumer,Los Angeles,California,West,Office Supplies,Art,7.28
CA-2015-115812,2015-06-09,14/06/2015,Standard Class,Brosina Hoffman,Consumer,Los Angeles,California,West,Technology,Phones,907.152
CA-2015-115812,2015-06-09,14/06/2015,Standard Class,Brosina Hoffman,Consumer,Los Angeles,California,West,Office Supplies,Binders,18.504
CA-2015-115812,2015-06-09,14/06/2015,Standard Class,Brosina Hoffman,Consumer,Los Angeles,California,West,Office Supplies,Appliances,114.9
CA-2015-115812,2015-06-09,14/06/2015,Standard Class,Brosina Hoffman,Consumer,Los Angeles,California,West,Furniture,Tables,1706.184
CA-2015-115812,2015-06-09,14/06/2015,Standard Class,Brosina Hoffman,Consumer,Los Angeles,California,West,Technology,Phones,911.424
CA-2018-114412,2018-04-15,20/04/2018,Standard Class,Andrew Allen,Consumer,Concord,North Carolina,South,Office Supplies,Paper,15.552
CA-2017-161389,2017-12-05,10/12/2017,Standard Class,Irene Maddox,Consumer,Seattle,Washington,West,Office Supplies,Binders,407.976
US-2016-118983,2016-11-22,26/11/2016,Standard Class,Harold Pawlan,Home Office,Fort Worth,Texas,Central,Office Supplies,Appliances,68.81
US-2016-118983,2016-11-22,26/11/2016,Standard Class,Harold Pawlan,Home Office,Fort Worth,Texas,Central,Office Supplies,Binders,2.544
CA-2015-105893,2015-11-11,18/11/2015,Standard Class,Pete Kriz,Consumer,Madison,Wisconsin,Central,Office Supplies,Storage,665.88
CA-2015-167164,2015-05-13,15/05/2015,Second Class,Alejandro Grove,Consumer,West Jordan,Utah,West,Office Supplies,Storage,55.5
CA-2015-143336,2015-08-27,01/09/2015,Second Class,Zuschuss Donatelli,Consumer,San Francisco,California,West,Office Supplies,Art,8.56
CA-2015-143336,2015-08-27,01/09/2015,Second Class,Zuschuss Donatelli,Consumer,San Francisco,California,West,Technology,Phones,213.48
CA-2015-143336,2015-08-27,01/09/2015,Second Class,Zuschuss Donatelli,Consumer,San Francisco,California,West,Office Supplies,Binders,22.72
CA-2017-137330,2017-12-09,13/12/2017,Standard Class,Ken Black,Corporate,Fremont,Nebraska,Central,Office Supplies,Art,19.46
CA-2017-137330,2017-12-09,13/12/2017,Standard Class,Ken Black,Corporate,Fremont,Nebraska,Central,Office Supplies,Appliances,60.34
US-2018-156909,2018-07-16,18/07/2018,Second Class,Sandra Flanagan,Consumer,Philadelphia,Pennsylvania,East,Furniture,Chairs,71.372
CA-2016-106320,2016-09-25,30/09/2016,Standard Class,Emily Burns,Consumer,Orem,Utah,West,Furniture,Tables,1044.63
CA-2017-121755,2017-01-16,20/01/2017,Second Class,Eric Hoffmann,Consumer,Los Angeles,California,West,Office Supplies,Binders,11.648
CA-2017-121755,2017-01-16,20/01/2017,Second Class,Eric Hoffmann,Consumer,Los Angeles,California,West,Technology,Accessories,90.57
US-2016-150630,2016-09-17,21/09/2016,Standard Class,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,East,Furniture,Bookcases,3083.43
US-2016-150630,2016-09-17,21/09/2016,Standard Class,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Binders,9.618
US-2016-150630,2016-09-17,21/09/2016,Standard Class,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,East,Furniture,Furnishings,124.2
US-2016-150630,2016-09-17,21/09/2016,Standard Class,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Envelopes,3.264
US-2016-150630,2016-09-17,21/09/2016,Standard Class,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Art,86.304
US-2016-150630,2016-09-17,21/09/2016,Standard Class,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Binders,6.858
US-2016-150630,2016-09-17,21/09/2016,Standard Class,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Art,15.76
CA-2018-107727,2018-10-19,23/10/2018,Second Class,Matt Abelman,Home Office,Houston,Texas,Central,Office Supplies,Paper,29.472
CA-2017-117590,2017-12-08,10/12/2017,First Class,Gene Hale,Corporate,Richardson,Texas,Central,Technology,Phones,1097.544
CA-2017-117590,2017-12-08,10/12/2017,First Class,Gene Hale,Corporate,Richardson,Texas,Central,Furniture,Furnishings,190.92
CA-2016-117415,2016-12-27,31/12/2016,Standard Class,Steve Nguyen,Home Office,Houston,Texas,Central,Office Supplies,Envelopes,113.328
CA-2016-117415,2016-12-27,31/12/2016,Standard Class,Steve Nguyen,Home Office,Houston,Texas,Central,Furniture,Bookcases,532.3992
CA-2016-117415,2016-12-27,31/12/2016,Standard Class,Steve Nguyen,Home Office,Houston,Texas,Central,Furniture,Chairs,212.058
CA-2016-117415,2016-12-27,31/12/2016,Standard Class,Steve Nguyen,Home Office,Houston,Texas,Central,Technology,Phones,371.168
CA-2018-120999,2018-09-10,15/09/2018,Standard Class,Linda Cazamias,Corporate,Naperville,Illinois,Central,Technology,Phones,147.168
CA-2017-101343,2017-07-17,22/07/2017,Standard Class,Ruben Ausman,Corporate,Los Angeles,California,West,Office Supplies,Storage,77.88
CA-2018-139619,2018-09-19,23/09/2018,Standard Class,Erin Smith,Corporate,Melbourne,Florida,South,Office Supplies,Storage,95.616
CA-2017-118255,2017-03-11,13/03/2017,First Class,Odella Nelson,Corporate,Eagan,Minnesota,Central,Technology,Accessories,45.98
CA-2017-118255,2017-03-11,13/03/2017,First Class,Odella Nelson,Corporate,Eagan,Minnesota,Central,Office Supplies,Binders,17.46
CA-2015-146703,2015-10-20,25/10/2015,Second Class,Patrick O'Donnell,Consumer,Westland,Michigan,Central,Office Supplies,Storage,211.96
CA-2017-169194,2017-06-20,25/06/2017,Standard Class,Lena Hernandez,Consumer,Dover,Delaware,East,Technology,Accessories,45.0
CA-2017-169194,2017-06-20,25/06/2017,Standard Class,Lena Hernandez,Consumer,Dover,Delaware,East,Technology,Phones,21.8
CA-2016-115742,2016-04-18,22/04/2016,Standard Class,Darren Powers,Consumer,New Albany,Indiana,Central,Office Supplies,Binders,38.22
CA-2016-115742,2016-04-18,22/04/2016,Standard Class,Darren Powers,Consumer,New Albany,Indiana,Central,Office Supplies,Labels,75.18
CA-2016-115742,2016-04-18,22/04/2016,Standard Class,Darren Powers,Consumer,New Albany,Indiana,Central,Furniture,Furnishings,6.16
CA-2016-115742,2016-04-18,22/04/2016,Standard Class,Darren Powers,Consumer,New Albany,Indiana,Central,Furniture,Chairs,89.99
CA-2017-105816,2017-12-11,17/12/2017,Standard Class,Janet Molinari,Corporate,New York City,New York,East,Office Supplies,Fasteners,15.26
CA-2017-105816,2017-12-11,17/12/2017,Standard Class,Janet Molinari,Corporate,New York City,New York,East,Technology,Phones,1029.95
CA-2017-111682,2017-06-17,18/06/2017,First Class,Ted Butterfield,Consumer,Troy,New York,East,Office Supplies,Storage,208.56
CA-2017-111682,2017-06-17,18/06/2017,First Class,Ted Butterfield,Consumer,Troy,New York,East,Office Supplies,Paper,32.4
CA-2017-111682,2017-06-17,18/06/2017,First Class,Ted Butterfield,Consumer,Troy,New York,East,Furniture,Chairs,319.41
CA-2017-111682,2017-06-17,18/06/2017,First Class,Ted Butterfield,Consumer,Troy,New York,East,Office Supplies,Paper,14.56
CA-2017-111682,2017-06-17,18/06/2017,First Class,Ted Butterfield,Consumer,Troy,New York,East,Technology,Accessories,30.0
CA-2017-111682,2017-06-17,18/06/2017,First Class,Ted Butterfield,Consumer,Troy,New York,East,Office Supplies,Binders,48.48
CA-2017-111682,2017-06-17,18/06/2017,First Class,Ted Butterfield,Consumer,Troy,New York,East,Office Supplies,Art,1.68
CA-2016-135545,2016-11-24,30/11/2016,Standard Class,Kunst Miller,Consumer,Los Angeles,California,West,Technology,Accessories,13.98
CA-2016-135545,2016-11-24,30/11/2016,Standard Class,Kunst Miller,Consumer,Los Angeles,California,West,Office Supplies,Binders,25.824
CA-2016-135545,2016-11-24,30/11/2016,Standard Class,Kunst Miller,Consumer,Los Angeles,California,West,Office Supplies,Paper,146.73
CA-2016-135545,2016-11-24,30/11/2016,Standard Class,Kunst Miller,Consumer,Los Angeles,California,West,Furniture,Furnishings,79.76
US-2016-164175,2016-04-30,05/05/2016,Standard Class,Paul Stevenson,Home Office,Chicago,Illinois,Central,Furniture,Chairs,213.115
CA-2015-106376,2015-12-05,10/12/2015,Standard Class,Brendan Sweed,Corporate,Gilbert,Arizona,West,Office Supplies,Art,1113.024
CA-2015-106376,2015-12-05,10/12/2015,Standard Class,Brendan Sweed,Corporate,Gilbert,Arizona,West,Technology,Phones,167.968
CA-2017-119823,2017-06-04,06/06/2017,First Class,Karen Daniels,Consumer,Springfield,Virginia,South,Office Supplies,Paper,75.88
CA-2017-106075,2017-09-18,23/09/2017,Standard Class,Henry MacAllister,Consumer,New York City,New York,East,Office Supplies,Binders,4.616
CA-2018-114440,2018-09-14,17/09/2018,Second Class,Tracy Blumstein,Consumer,Jackson,Michigan,Central,Office Supplies,Paper,19.05
US-2016-134026,2016-04-26,02/05/2016,Standard Class,Joel Eaton,Consumer,Memphis,Tennessee,South,Furniture,Chairs,831.936
US-2016-134026,2016-04-26,02/05/2016,Standard Class,Joel Eaton,Consumer,Memphis,Tennessee,South,Furniture,Furnishings,97.04
US-2016-134026,2016-04-26,02/05/2016,Standard Class,Joel Eaton,Consumer,Memphis,Tennessee,South,Office Supplies,Storage,72.784
US-2018-118038,2018-12-09,11/12/2018,First Class,Ken Brennan,Corporate,Houston,Texas,Central,Office Supplies,Binders,1.248
US-2018-118038,2018-12-09,11/12/2018,First Class,Ken Brennan,Corporate,Houston,Texas,Central,Furniture,Furnishings,9.708
US-2018-118038,2018-12-09,11/12/2018,First Class,Ken Brennan,Corporate,Houston,Texas,Central,Office Supplies,Storage,27.24
US-2015-147606,2015-11-26,01/12/2015,Second Class,Joel Eaton,Consumer,Houston,Texas,Central,Furniture,Furnishings,19.3
CA-2017-127208,2017-06-12,15/06/2017,First Class,Stewart Carmichael,Corporate,Decatur,Alabama,South,Office Supplies,Appliances,208.16
CA-2017-127208,2017-06-12,15/06/2017,First Class,Stewart Carmichael,Corporate,Decatur,Alabama,South,Office Supplies,Binders,16.74
CA-2015-139451,2015-10-12,16/10/2015,Standard Class,Duane Noonan,Consumer,San Francisco,California,West,Office Supplies,Art,14.9
